titre,genre,editeur,date_sortie,prix_eur,gratuit,note_positive_pct,nb_avis,avis_positifs,avis_negatifs,windows,mac,linux
Lost Dawn,Simulation,Capcom,2024-12-11,39.99,False,65,470,305,165,True,True,False
Iron Forge III,Adventure,505 Games,2016-02-22,19.99,False,93,28,26,2,True,False,False
Wild Legends IV,Action,Paradox Interactive,2014-10-19,24.99,False,39,1204,469,735,True,False,False
Shadow Craft,Casual,Ubisoft,2022-08-11,59.99,False,74,296,219,77,True,False,False
Dark World II Deluxe,Racing,Square Enix,2015-02-08,59.99,False,72,239,172,67,True,False,True
Brave Dawn V,Platformer,Indie Dev,2020-09-10,13.35,False,66,911,601,310,True,False,True
Wild Saga V Remastered,FPS,Team17,2016-10-07,9.99,False,73,575,419,156,True,False,False
Storm Protocol V,Simulation,Annapurna,2024-02-21,0.0,True,69,210,144,66,True,False,False
Dark Hunter III,Simulation,Ubisoft,2022-09-01,69.99,False,39,436,170,266,True,True,False
Ancient Forge III,Sandbox,Bandai Namco,2021-07-05,49.99,False,61,415,253,162,True,True,False
Wild Core,Strategy,Indie Dev,2017-09-28,2.05,False,50,1163,581,582,True,False,False
Final Forge IV,Platformer,THQ Nordic,2016-01-06,14.99,False,37,1147,424,723,True,False,False
Wild Knight IV,Platformer,Focus Entertainment,2014-01-28,29.99,False,70,98,68,30,True,False,True
Wild World,Platformer,505 Games,2017-11-07,0.0,True,53,554,293,261,True,False,False
Last Core V,Racing,Sega,2022-09-11,29.99,False,80,1264,1011,253,True,False,True
Star Saga V,Casual,Bandai Namco,2022-07-20,59.99,False,84,1910,1604,306,True,False,True
Wild Legends IV,FPS,Sega,2010-09-22,29.99,False,54,164,88,76,True,False,False
Storm Legacy,Horror,Annapurna,2018-11-28,9.99,False,88,359,315,44,True,True,False
Iron Wars,FPS,Square Enix,2021-07-22,49.99,False,33,174,57,117,True,False,False
Wild Saga V,Sandbox,Valve,2018-07-26,4.99,False,76,4644,3529,1115,True,False,False
Dragon World,Racing,Devolver Digital,2023-12-06,29.99,False,60,578,346,232,True,False,False
Storm Craft Deluxe,Horror,Square Enix,2017-03-01,49.99,False,61,200,122,78,True,True,False
Crystal Protocol II,Horror,Paradox Interactive,2016-07-16,24.99,False,95,432,410,22,True,False,True
Ancient Souls II,Strategy,Ubisoft,2023-01-18,69.99,False,86,750,645,105,True,True,False
Dragon Saga,Racing,Paradox Interactive,2018-08-20,29.99,False,68,232,157,75,True,False,False
Neon Protocol,FPS,505 Games,2020-04-27,9.99,False,87,1232,1071,161,True,False,False
Iron World IV,Adventure,Focus Entertainment,2018-06-11,9.99,False,64,216,138,78,True,False,True
Final Legacy,FPS,Capcom,2013-06-18,69.99,False,76,323,245,78,True,False,True
Brave Knight,Puzzle,Focus Entertainment,2011-10-13,29.99,False,57,29,16,13,True,False,False
Star Core,Sandbox,Sega,2021-09-26,24.99,False,72,744,535,209,True,False,False
Shadow Wars,Casual,Bandai Namco,2022-12-06,69.99,False,81,776,628,148,True,False,False
Crystal Dawn,Puzzle,Paradox Interactive,2022-11-14,0.0,True,50,746,373,373,True,True,False
Dark Wars,Sports,Bandai Namco,2018-05-25,69.99,False,87,50,43,7,True,False,False
Brave Quest,Action,Bandai Namco,2017-11-02,39.99,False,88,95,83,12,True,False,False
Shadow Protocol,Strategy,Ubisoft,2020-10-07,39.99,False,64,174,111,63,True,False,False
Cyber Saga II,RPG,Square Enix,2014-05-19,39.99,False,71,282,200,82,True,False,False
Neon Strike IV Deluxe,Adventure,Focus Entertainment,2023-11-20,29.99,False,70,142,99,43,True,False,False
Crystal Core,Casual,Indie Dev,2019-06-01,10.11,False,70,348,243,105,True,False,False
Last Knight,Sandbox,Devolver Digital,2022-03-24,14.99,False,88,976,858,118,True,False,False
Crystal Core,Sandbox,Focus Entertainment,2021-04-27,9.99,False,61,359,218,141,True,False,False
Dragon Legacy,Horror,Sega,2018-06-06,14.99,False,89,524,466,58,True,False,False
Star Hunter V,FPS,Annapurna,2018-09-07,0.0,True,58,255,147,108,True,True,False
Dragon Dawn IV,Horror,Focus Entertainment,2020-01-03,29.99,False,100,1634,1634,0,True,True,False
Shadow Wars,Racing,Bandai Namco,2019-06-23,59.99,False,65,21,13,8,True,False,False
Shadow Quest IV,FPS,Team17,2024-03-07,24.99,False,53,1010,535,475,True,True,False
Ancient Legends V,Sandbox,Capcom,2018-03-10,59.99,False,68,107,72,35,True,True,False
Star Souls,FPS,Ubisoft,2021-02-28,69.99,False,71,242,171,71,True,True,False
Dragon World,Action,Square Enix,2024-02-27,69.99,False,47,580,272,308,True,True,False
Crystal Craft,Platformer,Paradox Interactive,2024-04-04,0.0,True,59,722,425,297,True,False,False
Crystal Core IV,Casual,Devolver Digital,2024-10-14,9.99,False,52,30,15,15,True,False,False
Crystal Strike II,Strategy,Indie Dev,2017-03-08,13.2,False,78,509,397,112,True,True,True
Dark Knight,Sports,Square Enix,2012-12-10,59.99,False,60,707,424,283,True,False,False
Storm Legacy V,Horror,Paradox Interactive,2022-07-04,4.99,False,75,78,58,20,True,False,False
Wild Wars III Deluxe,Platformer,Square Enix,2021-08-04,59.99,False,21,72,15,57,True,False,False
Neon Wars,Puzzle,Valve,2023-06-20,24.99,False,89,318,283,35,True,True,True
Storm Protocol,Horror,505 Games,2018-03-16,0.0,True,61,52,31,21,True,False,False
Star Saga,Sports,Electronic Arts,2020-06-11,69.99,False,83,6432,5338,1094,True,False,False
Cyber Knight,Casual,505 Games,2022-08-03,0.0,True,35,836,292,544,True,False,False
Lost Knight,Racing,Devolver Digital,2019-09-12,4.99,False,82,15,12,3,True,False,False
Dragon Core,Racing,Ubisoft,2024-12-16,69.99,False,67,1066,714,352,True,True,False
Crystal Core IV,Simulation,Team17,2011-02-08,14.99,False,56,178,99,79,True,False,False
Dragon Quest III,FPS,Square Enix,2020-07-27,59.99,False,62,1761,1091,670,True,False,False
Dragon Dawn III,Puzzle,Team17,2022-02-09,4.99,False,80,3502,2801,701,True,False,False
Cyber Forge V,Simulation,Focus Entertainment,2018-10-22,19.99,False,83,503,417,86,True,False,True
Iron World,Platformer,Team17,2019-04-23,9.99,False,78,1511,1178,333,True,True,False
Brave Core GOTY,FPS,Annapurna,2023-11-26,14.99,False,57,228,129,99,True,False,False
Dragon Souls III,Puzzle,Bandai Namco,2023-02-17,69.99,False,61,3684,2247,1437,True,False,True
Final Knight III Complete Edition,Indie,Paradox Interactive,2022-02-28,24.99,False,47,196,92,104,True,False,False
Iron Knight,Platformer,Devolver Digital,2023-10-03,0.0,True,20,66,13,53,True,True,False
Star Legacy II,Adventure,THQ Nordic,2021-02-15,29.99,False,77,91,70,21,True,True,False
Dark Souls,Simulation,Bandai Namco,2019-04-17,49.99,False,31,921,285,636,True,False,False
Final Saga III GOTY,Puzzle,Indie Dev,2017-03-08,18.25,False,64,1010,646,364,True,False,False
Star Craft,Sports,Annapurna,2018-03-03,19.99,False,73,957,698,259,True,False,False
Crystal Wars,Sports,505 Games,2018-08-04,14.99,False,89,491,436,55,True,True,False
Crystal Wars V GOTY,Simulation,Valve,2021-12-02,24.99,False,73,2247,1640,607,True,False,False
Brave Forge V,Strategy,Paradox Interactive,2023-11-07,4.99,False,63,2112,1330,782,True,False,False
Ancient Core III,Horror,Indie Dev,2012-01-19,15.76,False,79,129,101,28,True,False,True
Wild Wars,RPG,Capcom,2015-09-17,59.99,False,96,1182,1134,48,True,False,False
Star Forge,Simulation,Focus Entertainment,2023-02-15,29.99,False,65,992,644,348,True,False,True
Shadow Protocol,Platformer,Team17,2019-07-01,29.99,False,74,317,234,83,True,True,True
Cyber Craft V,Sandbox,Indie Dev,2024-04-16,2.17,False,97,294,285,9,True,True,False
Iron Hunter IV,Horror,505 Games,2020-05-21,24.99,False,92,1145,1053,92,True,False,True
Dark Wars Deluxe,Racing,Ubisoft,2019-11-24,59.99,False,89,30,26,4,True,False,False
Crystal Strike III,Horror,Electronic Arts,2023-05-02,69.99,False,92,444,408,36,True,False,False
Dragon Legacy Complete Edition,Racing,Annapurna,2024-01-13,9.99,False,77,1192,917,275,True,True,False
Brave Protocol Deluxe,Horror,Indie Dev,2021-06-08,0.43,False,56,1044,584,460,True,False,False
Shadow Quest IV,Sandbox,505 Games,2017-03-26,29.99,False,83,699,580,119,True,False,True
Brave Saga III,Platformer,Ubisoft,2014-03-01,39.99,False,79,491,387,104,True,False,False
Crystal Hunter,Action,Ubisoft,2022-12-03,39.99,False,34,310,105,205,True,False,False
Iron Legends II,Strategy,Paradox Interactive,2012-11-17,29.99,False,70,66,46,20,True,False,False
Dark Souls,Casual,Indie Dev,2014-08-03,14.24,False,95,246,233,13,True,False,False
Final Quest III,Horror,Paradox Interactive,2021-07-20,9.99,False,93,73,67,6,True,False,False
Crystal Knight II,Adventure,505 Games,2022-09-24,29.99,False,40,710,284,426,True,False,False
Wild Legacy,Sports,Sega,2019-06-14,0.0,True,39,292,113,179,True,False,False
Final Craft Remastered,Adventure,Sega,2014-06-26,24.99,False,90,432,388,44,True,True,True
Iron Dawn,Casual,Bandai Namco,2023-12-02,69.99,False,57,126,71,55,True,False,False
Cyber Quest IV,Sports,Capcom,2023-09-12,59.99,False,83,354,293,61,True,True,False
Shadow Core,Platformer,505 Games,2021-11-18,24.99,False,57,263,149,114,True,True,False
Brave Strike V Complete Edition,FPS,THQ Nordic,2018-06-01,9.99,False,55,1335,734,601,True,True,True
Storm Knight II Remastered,Adventure,Focus Entertainment,2020-07-15,14.99,False,69,113,77,36,True,False,False
Ancient Hunter II,RPG,Ubisoft,2022-11-03,39.99,False,92,140,128,12,True,True,False
Dragon Legends,Strategy,THQ Nordic,2020-07-04,9.99,False,41,338,138,200,True,True,False
Dragon Dawn V GOTY,Puzzle,Valve,2010-04-25,9.99,False,71,126,89,37,True,True,False
Cyber Quest,Casual,Ubisoft,2015-09-18,49.99,False,54,462,249,213,True,False,False
Last Knight,Sports,Annapurna,2014-10-14,9.99,False,56,897,502,395,True,False,False
Neon Wars II,Indie,Ubisoft,2023-12-12,69.99,False,78,1370,1068,302,True,True,False
Shadow Knight,Casual,505 Games,2018-04-11,9.99,False,79,122,96,26,True,False,True
Storm Quest IV,Indie,Bandai Namco,2022-04-04,49.99,False,80,760,608,152,True,True,True
Crystal Saga II,Platformer,Indie Dev,2020-10-15,15.08,False,84,299,251,48,True,False,False
Storm Craft,Horror,Bandai Namco,2015-08-15,39.99,False,100,359,359,0,True,False,False
Crystal Souls,Simulation,Devolver Digital,2020-06-27,0.0,True,69,1194,823,371,True,True,False
Brave Quest,Racing,THQ Nordic,2022-08-26,0.0,True,49,426,208,218,True,False,True
Crystal World III,Sports,Electronic Arts,2023-12-03,59.99,False,82,6786,5564,1222,True,False,True
Shadow Strike,Racing,Team17,2021-06-10,9.99,False,62,691,428,263,True,False,False
Storm Legends,Horror,Bandai Namco,2013-09-22,39.99,False,86,219,188,31,True,False,False
Brave Craft III,Puzzle,Indie Dev,2015-11-23,6.99,False,92,650,598,52,True,False,True
Ancient Quest V,Horror,THQ Nordic,2018-11-23,4.99,False,67,155,103,52,True,False,False
Storm Forge II,Casual,Team17,2019-05-06,9.99,False,71,266,188,78,True,False,False
Lost World IV,RPG,Ubisoft,2014-09-25,39.99,False,79,362,285,77,True,False,False
Iron Souls,Puzzle,Ubisoft,2021-03-06,49.99,False,76,426,323,103,True,False,False
Lost Forge III,Action,Sega,2019-04-15,24.99,False,74,439,324,115,True,False,False
Lost World IV,Simulation,THQ Nordic,2023-04-12,29.99,False,29,2616,758,1858,True,False,False
Dragon World V,Racing,Team17,2019-04-26,4.99,False,65,76,49,27,True,False,False
Dark Craft,Racing,Annapurna,2014-09-28,29.99,False,83,214,177,37,True,True,True
Final Wars,RPG,505 Games,2020-08-12,4.99,False,89,222,197,25,True,False,False
Neon Dawn,Adventure,Bandai Namco,2017-02-27,59.99,False,90,311,279,32,True,False,False
Final Saga,Sandbox,Devolver Digital,2022-12-16,4.99,False,75,2482,1861,621,True,False,True
Last Souls V,RPG,Team17,2024-09-14,19.99,False,96,1108,1063,45,True,True,False
Star Quest,Horror,THQ Nordic,2021-02-27,0.0,True,29,703,203,500,True,False,False
Dark Craft IV,Simulation,Sega,2010-04-19,9.99,False,75,28,21,7,True,False,False
Last Dawn,Racing,Team17,2023-09-01,19.99,False,84,622,522,100,True,False,False
Storm Knight,Action,Bandai Namco,2023-04-24,59.99,False,96,188,180,8,True,False,True
Crystal Strike Complete Edition,Racing,Bandai Namco,2023-11-15,49.99,False,85,544,462,82,True,False,False
Final Core III GOTY,Action,Square Enix,2016-01-11,49.99,False,57,23,13,10,True,False,False
Brave Dawn,Platformer,Indie Dev,2016-01-28,7.14,False,53,64,33,31,True,False,False
Lost Hunter,FPS,Devolver Digital,2023-06-06,14.99,False,52,124,64,60,True,False,False
Wild Core V,FPS,Sega,2014-03-18,19.99,False,49,263,128,135,True,True,True
Cyber Craft V,Puzzle,Focus Entertainment,2019-08-12,24.99,False,90,16,14,2,True,False,False
Wild Hunter,Platformer,Valve,2013-07-12,24.99,False,57,3375,1923,1452,True,False,False
Final Souls III,Horror,THQ Nordic,2020-02-08,4.99,False,87,456,396,60,True,False,False
Neon Legends,Horror,Devolver Digital,2024-08-25,9.99,False,91,592,538,54,True,True,True
Cyber Knight,Strategy,Electronic Arts,2012-08-17,49.99,False,74,858,634,224,True,False,False
Star Core V,Strategy,Paradox Interactive,2018-04-04,14.99,False,68,159,108,51,True,True,True
Final Forge,Platformer,Indie Dev,2024-11-12,19.72,False,78,38,29,9,True,False,False
Star Forge V,FPS,Focus Entertainment,2024-03-26,24.99,False,71,826,586,240,True,False,False
Shadow Core III,Sports,Valve,2019-06-15,19.99,False,71,249,176,73,True,False,False
Crystal Forge II GOTY,FPS,Focus Entertainment,2020-07-27,14.99,False,74,556,411,145,True,False,True
Cyber Craft II,Horror,Team17,2019-09-21,29.99,False,87,375,326,49,True,False,False
Final Knight,Racing,Ubisoft,2018-06-23,49.99,False,73,472,344,128,True,True,False
Iron Forge V,Simulation,Capcom,2021-03-21,59.99,False,89,644,573,71,True,False,False
Iron Craft III,Puzzle,Ubisoft,2016-10-02,59.99,False,86,1390,1195,195,True,False,True
Dark Craft V,Platformer,Paradox Interactive,2019-01-16,24.99,False,83,352,292,60,True,False,False
Storm Wars,Platformer,Indie Dev,2019-12-02,9.07,False,36,49,17,32,True,True,False
Dragon Legacy,Indie,505 Games,2022-06-13,24.99,False,41,302,123,179,True,True,False
Iron Quest,Adventure,Square Enix,2020-02-02,49.99,False,63,456,287,169,True,True,False
Crystal Knight IV,RPG,505 Games,2018-12-11,19.99,False,93,1041,968,73,True,True,True
Iron World,Sports,Valve,2014-09-15,14.99,False,62,2865,1776,1089,True,False,False
Cyber Souls,Puzzle,Annapurna,2023-08-10,24.99,False,87,60,52,8,True,False,False
Neon Saga V,Platformer,Sega,2019-01-19,14.99,False,74,1245,921,324,True,False,False
Star Quest,Platformer,Team17,2018-11-20,19.99,False,80,331,264,67,True,True,False
Neon Hunter,Indie,THQ Nordic,2015-09-13,19.99,False,78,28,21,7,True,False,True
Final Strike,Racing,Devolver Digital,2015-03-11,19.99,False,48,605,290,315,True,False,False
Neon Legends V,Racing,505 Games,2020-12-19,14.99,False,91,397,361,36,True,True,False
Cyber Hunter II,Puzzle,Square Enix,2023-10-16,39.99,False,54,976,527,449,True,True,False
Lost Legends IV,Puzzle,Devolver Digital,2016-12-20,24.99,False,63,3101,1953,1148,True,False,False
Brave Craft IV Remastered,Strategy,Valve,2020-03-14,14.99,False,89,1509,1343,166,True,False,False
Lost Legends,FPS,Focus Entertainment,2013-09-07,4.99,False,46,146,67,79,True,False,False
Dragon Dawn,RPG,Devolver Digital,2024-09-12,9.99,False,83,286,237,49,True,False,False
Storm Craft V,Strategy,Capcom,2018-04-10,59.99,False,69,133,91,42,True,False,False
Ancient Strike,Indie,Team17,2024-12-09,29.99,False,89,648,576,72,True,True,False
Iron Knight,Platformer,THQ Nordic,2015-05-23,0.0,True,44,1440,633,807,True,True,False
Storm Wars,Sandbox,Team17,2018-12-09,19.99,False,61,107,65,42,True,True,False
Crystal Legacy IV,Strategy,Indie Dev,2017-06-23,2.0,False,76,39,29,10,True,False,False
Final Souls III,Sports,Devolver Digital,2022-05-11,29.99,False,87,186,161,25,True,True,True
Lost Quest IV,FPS,505 Games,2024-07-27,4.99,False,57,918,523,395,True,True,False
Brave Knight,FPS,505 Games,2024-01-10,0.0,True,51,158,80,78,True,False,True
Cyber Wars,Racing,Team17,2020-09-15,4.99,False,71,55,39,16,True,True,False
Cyber Saga,FPS,Ubisoft,2011-05-19,59.99,False,77,352,271,81,True,False,True
Crystal Protocol,Racing,Bandai Namco,2014-03-05,39.99,False,64,337,215,122,True,False,False
Dark Wars,Platformer,Square Enix,2024-10-24,59.99,False,78,854,666,188,True,False,False
Cyber Strike IV Remastered,Sports,Square Enix,2016-12-04,59.99,False,82,960,787,173,True,False,False
Cyber Legends IV,RPG,Devolver Digital,2016-10-12,24.99,False,66,579,382,197,True,False,False
Dragon Core IV,Horror,THQ Nordic,2021-02-17,29.99,False,80,1037,829,208,True,False,False
Last Forge II,Racing,Capcom,2021-03-11,49.99,False,82,861,706,155,True,False,False
Storm Legacy,Sports,THQ Nordic,2013-09-14,4.99,False,54,489,264,225,True,False,True
Dragon Craft V,Casual,Square Enix,2023-10-03,49.99,False,72,796,573,223,True,True,False
Last Dawn,Adventure,Annapurna,2020-07-06,9.99,False,67,1658,1110,548,True,False,False
Ancient Craft,Casual,Devolver Digital,2023-07-03,14.99,False,94,2788,2620,168,True,False,False
Iron Saga,Casual,Team17,2015-01-25,4.99,False,66,44,29,15,True,True,False
Storm Strike,Sandbox,Capcom,2017-03-09,59.99,False,34,1036,352,684,True,True,False
Lost Quest,Casual,Paradox Interactive,2022-04-07,0.0,True,51,42,21,21,True,True,False
Dragon Legends,Action,Sega,2020-04-25,19.99,False,96,305,292,13,True,False,True
Iron Wars IV,FPS,Paradox Interactive,2018-11-27,19.99,False,76,580,440,140,True,False,False
Final Craft IV,Simulation,Valve,2021-12-06,19.99,False,82,846,693,153,True,False,False
Dragon Souls,Horror,Sega,2023-12-14,9.99,False,78,2264,1765,499,True,False,False
Final Core,Strategy,Square Enix,2023-08-02,49.99,False,77,478,368,110,True,False,False
Iron Dawn III,Simulation,Capcom,2018-08-28,39.99,False,55,1024,563,461,True,False,False
Brave Legacy,Horror,Paradox Interactive,2021-02-07,29.99,False,74,502,371,131,True,False,False
Storm Dawn IV,Sandbox,Annapurna,2018-04-07,0.0,True,54,72,38,34,True,False,True
Lost World IV,FPS,Capcom,2019-09-11,49.99,False,86,348,299,49,True,False,False
Iron Craft,Indie,Team17,2023-02-26,14.99,False,89,390,347,43,True,False,False
Brave Hunter IV,Casual,Valve,2021-12-05,4.99,False,71,1008,715,293,True,True,False
Crystal Legends,Strategy,Bandai Namco,2017-08-18,49.99,False,41,766,314,452,True,False,False
Star Core,Horror,Focus Entertainment,2020-12-26,4.99,False,86,2168,1864,304,True,False,True
Iron World III,Racing,Indie Dev,2024-02-27,10.47,False,89,840,747,93,True,False,False
Neon Saga IV Deluxe,Action,Capcom,2020-01-20,59.99,False,63,50,31,19,True,False,False
Wild World,Racing,Sega,2010-12-09,19.99,False,67,816,546,270,True,False,False
Iron Protocol,RPG,Electronic Arts,2024-04-07,49.99,False,76,3732,2836,896,True,False,False
Cyber Wars GOTY,Sports,Paradox Interactive,2017-04-10,24.99,False,83,636,527,109,True,False,False
Storm Protocol GOTY,Casual,Team17,2020-01-23,24.99,False,50,1136,568,568,True,True,False
Neon Craft,Sandbox,Electronic Arts,2023-04-07,39.99,False,80,2298,1838,460,True,False,False
Crystal World V Remastered,Horror,Annapurna,2018-10-22,19.99,False,71,96,68,28,True,True,False
Cyber Souls IV,Platformer,505 Games,2022-02-10,14.99,False,63,220,138,82,True,True,False
Brave Protocol,Racing,Bandai Namco,2019-12-24,49.99,False,63,645,406,239,True,True,False
Cyber Souls II,Sandbox,Electronic Arts,2018-06-01,69.99,False,72,141,101,40,True,False,False
Dragon World IV,Casual,Sega,2016-11-13,19.99,False,82,287,235,52,True,True,False
Lost Legacy II Deluxe,Casual,Focus Entertainment,2023-12-13,4.99,False,86,2036,1750,286,True,False,True
Dark Wars,Simulation,Electronic Arts,2015-07-15,49.99,False,25,3129,782,2347,True,False,False
Last Souls II,Adventure,Paradox Interactive,2021-07-01,9.99,False,58,1227,711,516,True,True,False
Last Strike IV,RPG,Indie Dev,2019-05-09,2.78,False,91,80,72,8,True,False,True
Neon Wars,Platformer,Electronic Arts,2019-12-21,49.99,False,74,5361,3967,1394,True,False,False
Dragon Quest III,Casual,Bandai Namco,2023-06-15,69.99,False,80,2066,1652,414,True,False,False
Brave Craft III,Puzzle,Focus Entertainment,2016-03-13,9.99,False,89,159,141,18,True,False,False
Ancient Craft,Platformer,Capcom,2018-07-12,59.99,False,42,1760,739,1021,True,True,False
Crystal Dawn III,Racing,Valve,2024-12-07,14.99,False,65,5352,3478,1874,True,False,False
Ancient Quest,RPG,Indie Dev,2018-03-23,5.05,False,47,101,47,54,True,False,False
Dragon Legends,Racing,Team17,2024-12-14,29.99,False,63,1658,1044,614,True,False,False
Cyber Strike II Deluxe,Horror,Indie Dev,2019-01-19,12.93,False,94,167,156,11,True,False,False
Neon Core,Casual,Electronic Arts,2010-04-17,59.99,False,66,225,148,77,True,False,False
Ancient Legends IV,Casual,Devolver Digital,2023-12-17,19.99,False,76,62,47,15,True,True,False
Dragon Quest V,Adventure,Electronic Arts,2023-06-10,49.99,False,64,2232,1428,804,True,False,False
Iron World,Sports,Focus Entertainment,2022-02-10,9.99,False,87,388,337,51,True,True,False
Dark Protocol,Horror,THQ Nordic,2016-04-17,24.99,False,73,59,43,16,True,True,True
Iron Knight,Casual,Indie Dev,2016-07-13,12.8,False,44,599,263,336,True,True,False
Shadow World,FPS,Capcom,2017-10-04,39.99,False,69,490,338,152,True,False,False
Cyber Hunter IV,Simulation,Indie Dev,2023-11-11,10.55,False,82,1188,974,214,True,False,False
Crystal Quest,Sports,Paradox Interactive,2016-12-26,24.99,False,64,536,343,193,True,True,False
Last Craft III,Strategy,Square Enix,2015-12-05,59.99,False,43,428,184,244,True,False,False
Final Legends,Sports,Indie Dev,2021-03-18,18.37,False,75,560,420,140,True,True,False
Final Hunter,Sandbox,Bandai Namco,2024-03-07,69.99,False,71,1722,1222,500,True,False,False
Iron Craft,Sports,Sega,2022-08-06,14.99,False,80,476,380,96,True,True,True
Lost Legacy V Deluxe,Racing,Square Enix,2016-10-24,69.99,False,85,145,123,22,True,False,False
Iron Quest II,Racing,505 Games,2024-01-25,19.99,False,64,642,410,232,True,False,False
Neon Quest IV,Action,Devolver Digital,2017-02-15,29.99,False,80,22,17,5,True,False,True
Lost Legacy IV,Puzzle,Focus Entertainment,2019-10-21,24.99,False,99,391,387,4,True,False,False
Lost Legacy IV,Puzzle,Bandai Namco,2021-06-23,49.99,False,46,1566,720,846,True,True,False
Brave Dawn II GOTY,Action,Square Enix,2023-12-28,49.99,False,67,2636,1766,870,True,True,True
Cyber Protocol IV,Horror,Sega,2020-11-09,19.99,False,83,342,283,59,True,False,False
Last Craft II,FPS,Square Enix,2022-08-16,59.99,False,89,794,706,88,True,False,True
Lost Protocol II,Sports,Indie Dev,2022-02-26,7.16,False,37,552,204,348,True,False,False
Neon Protocol IV,Indie,505 Games,2018-10-05,19.99,False,77,382,294,88,True,False,False
Cyber Forge GOTY,Action,Electronic Arts,2024-08-15,49.99,False,60,9942,5965,3977,True,True,False
Shadow Strike III,Simulation,Ubisoft,2023-02-21,59.99,False,59,1022,602,420,True,False,True
Storm Forge III Complete Edition,FPS,Focus Entertainment,2022-11-03,14.99,False,68,278,189,89,True,False,True
Dragon Quest III,Racing,Indie Dev,2020-06-27,0.16,False,92,1161,1068,93,True,True,False
Ancient Saga GOTY,Adventure,Focus Entertainment,2023-06-12,0.0,True,67,1748,1171,577,True,False,True
Lost Protocol III,Horror,Ubisoft,2013-10-21,39.99,False,82,310,254,56,True,True,False
Shadow Craft III,Puzzle,Indie Dev,2020-02-05,4.34,False,73,132,96,36,True,False,False
Neon Hunter,RPG,Capcom,2018-04-18,39.99,False,65,405,263,142,True,False,False
Star Core,Horror,Annapurna,2018-10-17,19.99,False,55,2212,1216,996,True,True,False
Storm Souls IV,Adventure,Capcom,2020-09-01,39.99,False,69,642,442,200,True,False,False
Final Knight,Horror,Ubisoft,2022-01-19,39.99,False,86,340,292,48,True,True,False
Dark Forge,Casual,Team17,2018-09-25,24.99,False,77,229,176,53,True,False,False
Last Craft III,Simulation,Electronic Arts,2020-03-18,49.99,False,76,429,326,103,True,False,False
Lost Protocol II,Casual,Focus Entertainment,2024-01-08,4.99,False,68,412,280,132,True,True,False
Dragon Legends,FPS,Indie Dev,2022-12-05,2.39,False,71,644,457,187,True,False,True
Cyber Dawn V,RPG,Focus Entertainment,2023-12-04,9.99,False,80,1190,952,238,True,False,True
Lost Knight V,Simulation,Focus Entertainment,2024-02-16,24.99,False,86,1430,1229,201,True,False,False
Dragon Protocol III,Simulation,THQ Nordic,2014-11-24,19.99,False,57,143,81,62,True,True,False
Dark Souls,Sports,Bandai Namco,2019-03-28,49.99,False,77,377,290,87,True,True,False
Ancient Strike,Strategy,Sega,2024-05-27,9.99,False,77,1768,1361,407,True,True,False
