titre,artiste,popularite,date_sortie,genre,sous_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duree_ms
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,2019-06-27,pop,dance pop,0.728,0.815,-2.878,0.046,0.00223,0.000317,0.101,0.681,124.019,218015
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,2019-10-25,pop,dance pop,0.846,0.773,-3.503,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444
Higher Love,Kygo,87,2019-06-28,pop,dance pop,0.693,0.678,-7.159,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267
Unlove You,Armin van Buuren,62,2019-10-18,pop,dance pop,0.678,0.928,-3.66,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160
bad guy (with Justin Bieber),Billie Eilish,83,2019-07-11,pop,dance pop,0.67,0.453,-11.265,0.295,0.252,0.33,0.117,0.68,135.055,194840
Freaking Me Out - Keanu Silva Remix,Ava Max,55,2019-11-01,pop,dance pop,0.755,0.931,-4.104,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,2019-05-24,pop,dance pop,0.622,0.859,-7.626,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,2019-10-25,pop,dance pop,0.789,0.893,-4.364,0.168,0.0538,0.0,0.221,0.41,121.956,144073
Gone - The Wild Remix,Charli XCX,57,2019-08-09,pop,dance pop,0.64,0.838,-4.203,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861
American Boy - Brooks Remix,Estelle,56,2019-06-14,pop,dance pop,0.609,0.764,-4.564,0.111,0.0994,0.0,0.197,0.531,128.082,200625
Million Pieces - M-22 Remix,Bastille,53,2019-09-27,pop,dance pop,0.64,0.992,-3.318,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237
joy. (R3HAB Remix),for KING & COUNTRY,56,2019-01-25,pop,dance pop,0.75,0.81,-4.607,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,2019-11-12,pop,dance pop,0.535,0.956,-2.996,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719
Old Town Road - Diplo Remix,Lil Nas X,74,2019-04-29,pop,dance pop,0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027
Lovers + Strangers - GATTÜSO Remix,Starley,46,2019-11-15,pop,dance pop,0.649,0.821,-4.952,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,2018-10-19,pop,dance pop,0.588,0.697,-4.744,0.0372,0.186,0.000219,0.103,0.225,125.157,190417
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,2019-12-12,pop,dance pop,0.355,0.789,-4.358,0.165,0.0148,0.0,0.0355,0.169,80.444,237686
What Am I - SONDR Remix,Why Don't We,52,2019-11-01,pop,dance pop,0.542,0.84,-5.283,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361
Cool Kids,Olympis,67,2019-11-01,pop,dance pop,0.735,0.5,-11.297,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,2019-08-09,pop,dance pop,0.752,0.84,-4.451,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800
All Star - Breathe Carolina Remix,Smash Mouth,60,2019-08-23,pop,dance pop,0.748,0.903,-5.877,0.0385,0.0324,0.0,0.106,0.751,115.018,217043
Trampoline - Dave Audé Remix,SHAED,45,2019-12-27,pop,dance pop,0.607,0.955,-3.613,0.102,0.0163,0.121,0.0725,0.501,125.984,230476
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,2019-07-11,pop,dance pop,0.607,0.995,-2.325,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
With You - Dexter Remix,Kaskade,51,2019-09-12,pop,dance pop,0.679,0.786,-6.918,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,2019-11-15,pop,dance pop,0.714,0.801,-5.8,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,2018-09-28,pop,dance pop,0.69,0.862,-4.154,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869
Talk - Disclosure VIP,Khalid,60,2019-03-27,pop,dance pop,0.775,0.867,-7.388,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229
Spicy - Majestic Remix,Herve Pagez,48,2019-10-11,pop,dance pop,0.814,0.838,-5.547,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,2019-10-04,pop,dance pop,0.784,0.779,-5.48,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714
Treehouse - R3HAB Remix,James Arthur,56,2019-09-13,pop,dance pop,0.367,0.783,-4.504,0.154,0.00515,0.0,0.0545,0.289,88.013,192653
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,2018-02-09,pop,dance pop,0.609,0.83,-3.759,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451
Call You Mine,The Chainsmokers,39,2019-05-31,pop,dance pop,0.591,0.702,-5.59,0.0289,0.225,0.0,0.414,0.501,104.003,217653
Post Malone (feat. RANI),Sam Feldt,83,2019-05-24,pop,dance pop,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356,174444
Here With Me,Marshmello,83,2019-03-08,pop,dance pop,0.791,0.565,-3.933,0.0439,0.0623,0.0,0.156,0.181,99.961,156347
Easier - Seeb Remix,5 Seconds of Summer,71,2019-07-12,pop,dance pop,0.564,0.747,-3.374,0.0584,0.0728,0.0,0.151,0.717,97.878,165767
Sixteen,Ellie Goulding,81,2019-04-12,pop,dance pop,0.669,0.801,-5.445,0.136,0.268,0.0,0.0594,0.541,109.919,201072
Never Really Over,Katy Perry,85,2019-05-31,pop,dance pop,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,223523
All You Need To Know (feat. Calle Lehmann),Gryffin,76,2019-03-27,pop,dance pop,0.513,0.788,-4.629,0.0364,0.00968,0.0,0.11,0.234,139.987,238459
I Miss Myself (with HRVY),NOTD,71,2019-05-03,pop,dance pop,0.72,0.864,-3.249,0.208,0.0856,0.0,0.16,0.659,96.048,191612
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,2019-10-04,pop,dance pop,0.789,0.858,-4.388,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455
Takeaway (feat. Lennon Stella),The Chainsmokers,67,2019-07-24,pop,dance pop,0.294,0.505,-8.106,0.042,0.12,0.0,0.0977,0.357,85.332,209893
All the Time,Zara Larsson,74,2019-06-21,pop,dance pop,0.665,0.799,-2.868,0.0617,0.18,0.0,0.125,0.5,101.976,228112
What I Like About You (feat. Theresa Rex),Jonas Blue,81,2019-03-22,pop,dance pop,0.46,0.8,-3.584,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396
With You,Kaskade,71,2019-06-14,pop,dance pop,0.362,0.921,-3.815,0.486,0.123,0.0,0.19,0.529,172.191,180840
Body Back (feat. Maia Wright),Gryffin,75,2019-10-18,pop,dance pop,0.686,0.83,-4.437,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634
Not Ok,Kygo,73,2019-05-23,pop,dance pop,0.618,0.66,-8.14,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944
Ruin My Life,Zara Larsson,79,2018-10-18,pop,dance pop,0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,124.896,190932
I Wanna Know (feat. Bea Miller),NOTD,74,2018-03-16,pop,dance pop,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,197939
Better With You,3LAU,63,2019-03-01,pop,dance pop,0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,2019-04-19,pop,dance pop,0.591,0.705,-6.519,0.079,0.381,0.000116,0.131,0.27,121.799,215316
Polaroid,Jonas Blue,16,2018-11-09,pop,dance pop,0.652,0.898,-4.481,0.0361,0.29,0.0,0.073,0.472,114.043,193377
Lost In Japan - Remix,Shawn Mendes,75,2018-09-27,pop,dance pop,0.706,0.855,-5.377,0.215,0.0911,0.0,0.347,0.293,107.184,201253
In Your Arms (with X Ambassadors),ILLENIUM,75,2019-08-16,pop,dance pop,0.404,0.806,-4.75,0.0496,0.198,0.0,0.114,0.112,148.036,220730
I'm Not Alright,Loud Luxury,55,2019-07-12,pop,dance pop,0.876,0.856,-3.884,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062
SOS,Avicii,30,2019-04-10,pop,dance pop,0.802,0.645,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,157202
Harder,Jax Jones,62,2019-07-12,pop,dance pop,0.906,0.832,-3.004,0.0718,0.0909,0.0,0.152,0.751,104.03,159753
The Middle,Zedd,84,2018-01-23,pop,dance pop,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01,184732
Wanted,NOTD,70,2019-09-27,pop,dance pop,0.693,0.674,-4.449,0.0723,0.185,0.0,0.0639,0.378,95.972,160998
Crash Into Me,Steve Aoki,37,2019-07-12,pop,dance pop,0.672,0.815,-6.476,0.0981,0.00246,0.0,0.577,0.341,115.033,226093
Need Your Love (with Noah Kahan),Gryffin,70,2019-10-24,pop,dance pop,0.581,0.76,-3.962,0.0406,0.16,0.0,0.183,0.523,104.099,205787
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,2019-05-13,pop,dance pop,0.643,0.594,-5.453,0.0318,0.0128,0.0,0.118,0.442,144.033,216668
Don't Call Me Up,Mabel,85,2019-01-18,pop,dance pop,0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480
Nostalgic,A R I Z O N A,36,2019-06-18,pop,dance pop,0.691,0.538,-9.952,0.103,0.246,0.163,0.178,0.329,99.972,182668
Let It Be Me,Steve Aoki,52,2019-09-06,pop,dance pop,0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,224061
Lovers + Strangers,Starley,58,2019-10-11,pop,dance pop,0.653,0.69,-5.003,0.0756,0.109,0.0,0.136,0.652,110.214,178501
Sad Song (feat. TINI),Alesso,72,2019-06-14,pop,dance pop,0.734,0.693,-6.474,0.0361,0.0878,0.0,0.341,0.55,110.021,154024
Sleepless Nights,ayokay,64,2018-08-31,pop,dance pop,0.663,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880
Save Me Tonight,ARTY,63,2019-01-25,pop,dance pop,0.55,0.899,-3.284,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,2017-03-02,pop,dance pop,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,193613
No Sleep (feat. Bonn),Martin Garrix,76,2019-02-21,pop,dance pop,0.44,0.635,-6.385,0.0326,0.129,0.0,0.121,0.327,128.133,207095
Feel Good (feat. Daya),Gryffin,74,2017-03-03,pop,dance pop,0.625,0.707,-4.761,0.0337,0.22,0.0,0.213,0.479,138.064,248156
Endless Summer,Cashae,56,2019-07-12,pop,dance pop,0.625,0.719,-5.541,0.0612,0.048,0.0,0.0668,0.326,101.091,202072
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,2019-10-25,pop,dance pop,0.547,0.795,-3.721,0.0489,0.145,0.0,0.11,0.723,118.118,186805
Think About You,Kygo,71,2019-02-14,pop,dance pop,0.673,0.596,-7.891,0.0354,0.166,0.0,0.11,0.19,123.969,208567
Party For One,Carly Rae Jepsen,64,2019-05-17,pop,dance pop,0.699,0.633,-6.547,0.0362,0.0453,0.0,0.101,0.458,123.449,184533
Ritual,Tiësto,82,2019-05-31,pop,dance pop,0.647,0.726,-4.389,0.0552,0.157,0.0,0.0844,0.767,114.996,198996
Electricity (with Dua Lipa),Silk City,81,2018-09-06,pop,dance pop,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173
Lie,Shallou,41,2018-01-25,pop,dance pop,0.655,0.427,-11.684,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446
I Found You (with Calvin Harris),benny blanco,62,2018-12-07,pop,dance pop,0.79,0.865,-4.159,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165
Now That I Found You,Carly Rae Jepsen,5,2019-02-27,pop,dance pop,0.611,0.737,-5.154,0.0476,0.0145,0.0,0.107,0.574,124.169,200318
All Comes Back To You,R3HAB,72,2019-10-25,pop,dance pop,0.726,0.763,-6.872,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312
Need U,DVBBS,24,2019-08-16,pop,dance pop,0.714,0.705,-6.479,0.0995,0.292,0.000386,0.126,0.471,114.994,219521
First Love,Lost Kings,58,2017-10-13,pop,dance pop,0.619,0.938,-5.245,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
Something Real,Armin van Buuren,65,2019-07-12,pop,dance pop,0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531
TIME,Alesso,64,2019-03-08,pop,dance pop,0.768,0.808,-1.818,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000
Something About You (with Rudimental),Elderbrook,53,2019-08-09,pop,dance pop,0.767,0.605,-5.737,0.188,0.559,0.000363,0.193,0.657,107.042,203200
Home (feat. Bonn),Martin Garrix,72,2019-08-16,pop,dance pop,0.466,0.612,-4.855,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067
Simple (STVW Remix),FANNYPACK,39,2019-04-12,pop,dance pop,0.434,0.917,-3.613,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554
Sorry,Joel Corry,75,2019-04-05,pop,dance pop,0.744,0.79,-4.617,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640
Spicy (with Diplo & Charli XCX),Herve Pagez,60,2019-05-30,pop,dance pop,0.837,0.818,-4.474,0.0533,0.0527,0.00642,0.11,0.484,109.993,157159
The Upside (feat. Elle King),Lindsey Stirling,18,2019-08-02,pop,dance pop,0.514,0.856,-4.285,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502
Stay,Zedd,79,2017-02-23,pop,dance pop,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04,210091
Million Voices,Armin van Buuren,60,2019-10-25,pop,dance pop,0.466,0.869,-4.275,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,2018-09-28,pop,dance pop,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500
Closer (feat. Halsey),The Chainsmokers,85,2016-07-29,pop,dance pop,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,2014-10-13,pop,dance pop,0.647,0.624,-8.446,0.0451,0.025,0.056,0.0616,0.477,115.002,243091
Clarity,Zedd,74,2012-01-01,pop,dance pop,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,271427
Solo (feat. Demi Lovato),Clean Bandit,80,2018-05-17,pop,dance pop,0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653
Scared to Be Lonely,Martin Garrix,81,2017-01-27,pop,dance pop,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,220883
Friends (with BloodPop®),Justin Bieber,76,2017-08-17,pop,dance pop,0.743,0.733,-5.337,0.0375,0.00402,0.0,0.304,0.622,104.977,189467
RITMO (Bad Boys For Life),The Black Eyed Peas,96,2019-10-12,pop,dance pop,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714
Promises (with Sam Smith),Calvin Harris,84,2018-08-17,pop,dance pop,0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309
Turn Me On (feat. Vula),Riton,86,2019-09-13,pop,dance pop,0.737,0.828,-4.711,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474
Light,San Holo,68,2017-02-10,pop,dance pop,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853
2U,David Guetta,66,2017-06-09,pop,dance pop,0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,194907
Something Just Like This,The Chainsmokers,83,2017-04-07,pop,dance pop,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
One Kiss (with Dua Lipa),Calvin Harris,85,2018-04-06,pop,dance pop,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847
Heroes (we could be),Alesso,73,2015-05-26,pop,dance pop,0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896,210013
It Ain’t Me (with Selena Gomez),Kygo,69,2017-02-17,pop,dance pop,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,2012-01-01,pop,dance pop,0.658,0.677,-6.628,0.0393,0.248,0.0,0.368,0.248,124.91,251627
Let Me Love You,DJ Snake,81,2016-08-05,pop,dance pop,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947
Roses,The Chainsmokers,73,2015-06-16,pop,dance pop,0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,2012,pop,dance pop,0.596,0.738,-3.109,0.0411,0.109,0.0,0.0947,0.461,127.961,217347
Latch,Disclosure,19,2013-01-01,pop,dance pop,0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632
Flames,David Guetta,57,2018-09-14,pop,dance pop,0.609,0.726,-4.346,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000
Sorry,Justin Bieber,81,2015-11-13,pop,dance pop,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787
This Is What You Came For,Calvin Harris,79,2016-04-29,pop,dance pop,0.63,0.928,-2.787,0.0331,0.199,0.124,0.148,0.465,123.963,222160
Wake Me Up,Avicii,84,2013-01-01,pop,dance pop,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427
In My Mind,Dynoro,84,2018-06-08,pop,dance pop,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560
Titanium (feat. Sia),David Guetta,66,2011-08-26,pop,dance pop,0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,245040
Where Are Ü Now,Skrillex,8,2015-11-13,pop,dance pop,0.432,0.74,-5.053,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520
Firework,Katy Perry,64,2010-01-01,pop,dance pop,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,227893
Mi Gente (feat. Beyoncé),J Balvin,61,2017-09-28,pop,dance pop,0.759,0.716,-6.36,0.0818,0.0223,0.0,0.231,0.469,105.009,209733
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,2012-01-01,pop,dance pop,0.614,0.832,-3.419,0.0522,0.11,0.0,0.185,0.429,129.038,213169
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,2016-09-23,pop,dance pop,0.669,0.832,-5.72,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547
Anything Could Happen,Ellie Goulding,57,2012-01-01,pop,dance pop,0.702,0.781,-4.081,0.03,0.433,0.0,0.135,0.382,102.997,286322
Poker Face,Lady Gaga,69,2008-01-01,pop,dance pop,0.851,0.806,-4.618,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200
How Deep Is Your Love,Calvin Harris,77,2015-07-17,pop,dance pop,0.738,0.868,-4.373,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640
In Your Eyes (feat. Alida),Robin Schulz,74,2020-01-10,pop,dance pop,0.57,0.672,-5.89,0.0723,0.177,0.0,0.0768,0.448,120.019,208222
