joueur,equipe,age,matchs,minutes_par_match,points,rebonds,passes,interceptions,contres,pertes_balle,pct_tir,pct_3pts,pct_lf,plus_minus,double_doubles,pct_victoires
Bam Adebayo,MIA,25.0,75,34.6,20.4,9.2,3.2,1.2,0.8,2.5,0.54,0.083,0.806,1.6,31,0.533
Ben Simmons,BKN,26.0,42,26.3,6.9,6.3,6.1,1.3,0.6,2.3,0.566,0.0,0.439,1.0,4,0.571
Bennedict Mathurin,IND,20.0,78,28.5,16.7,4.1,1.5,0.6,0.2,1.9,0.434,0.323,0.828,-2.3,0,0.423
Bismack Biyombo,PHX,30.0,61,14.3,4.3,4.3,0.9,0.3,1.4,0.8,0.578,0.0,0.357,0.8,3,0.541
Blake Griffin,BOS,34.0,41,13.9,4.1,3.8,1.5,0.3,0.2,0.5,0.485,0.348,0.656,2.6,0,0.659
Blake Wesley,SAS,20.0,37,18.1,5.0,2.2,2.6,0.7,0.1,1.8,0.321,0.385,0.591,-5.4,0,0.243
Boban Marjanovic,HOU,34.0,31,5.5,3.3,1.9,0.3,0.2,0.1,0.5,0.683,0.0,0.741,2.1,0,0.226
Bobby Portis,MIL,28.0,70,26.0,14.1,9.6,1.5,0.4,0.2,1.2,0.496,0.37,0.768,0.2,38,0.671
Bogdan Bogdanovic,ATL,30.0,54,27.9,14.0,3.1,2.8,0.8,0.3,1.2,0.447,0.406,0.831,1.2,0,0.5
Bojan Bogdanovic,DET,34.0,59,32.1,21.6,3.8,2.6,0.6,0.1,2.3,0.488,0.411,0.884,-5.6,0,0.254
Bol Bol,ORL,23.0,70,21.5,9.1,5.8,1.0,0.4,1.2,1.6,0.546,0.265,0.759,-2.1,6,0.371
Bones Hyland,LAC,22.0,56,19.4,11.8,2.4,3.1,0.7,0.3,1.5,0.399,0.371,0.843,-2.3,1,0.643
Bradley Beal,WAS,29.0,50,33.5,23.2,3.9,5.4,0.9,0.7,2.9,0.506,0.365,0.842,0.8,2,0.48
Brandon Boston Jr.,LAC,21.0,22,11.3,6.5,1.4,0.9,0.4,0.0,0.5,0.418,0.414,0.763,-2.0,0,0.409
Brandon Clarke,MEM,26.0,56,19.5,10.0,5.5,1.3,0.6,0.7,1.0,0.656,0.167,0.719,-0.3,6,0.571
Brandon Ingram,NOP,25.0,45,34.2,24.7,5.5,5.8,0.7,0.4,3.3,0.484,0.39,0.882,2.1,6,0.511
Brook Lopez,MIL,35.0,78,30.4,15.9,6.7,1.3,0.5,2.5,1.4,0.531,0.374,0.784,5.1,11,0.731
Bruce Brown,DEN,26.0,80,28.5,11.5,4.1,3.4,1.1,0.6,1.5,0.483,0.358,0.758,0.4,3,0.663
Bruno Fernando,ATL,24.0,39,10.4,3.9,3.5,0.8,0.2,0.9,0.6,0.527,0.0,0.7,-1.9,1,0.333
Bryce McGowens,CHA,20.0,46,17.1,5.3,2.0,1.2,0.3,0.1,0.9,0.396,0.325,0.75,-3.3,0,0.348
Bryn Forbes,MIN,29.0,25,10.7,3.6,0.6,0.7,0.3,0.1,0.5,0.361,0.304,1.0,-1.9,0,0.36
Buddy Boeheim,DET,23.0,10,9.0,1.6,0.6,0.4,0.2,0.0,0.0,0.185,0.16,1.0,0.3,0,0.2
Buddy Hield,IND,30.0,80,31.0,16.8,5.0,2.8,1.2,0.3,1.7,0.458,0.425,0.822,-1.1,3,0.438
CJ McCollum,NOP,31.0,75,35.3,20.9,4.4,5.7,0.9,0.5,2.4,0.437,0.389,0.769,0.8,6,0.507
Cade Cunningham,DET,21.0,12,33.3,19.9,6.2,6.0,0.8,0.6,3.3,0.415,0.279,0.837,-5.0,3,0.25
Caleb Houstan,ORL,20.0,51,15.9,3.8,1.9,0.6,0.2,0.1,0.4,0.363,0.338,0.833,-1.6,0,0.392
Caleb Martin,MIA,27.0,71,29.3,9.6,4.8,1.6,1.0,0.4,1.1,0.464,0.356,0.805,-0.1,2,0.535
Cam Reddish,POR,23.0,40,24.7,9.7,2.2,1.4,1.0,0.4,1.2,0.446,0.313,0.853,-4.8,0,0.35
Cam Thomas,BKN,21.0,57,16.6,10.6,1.7,1.4,0.4,0.1,1.1,0.441,0.383,0.868,-0.1,0,0.526
Cameron Johnson,BKN,27.0,42,28.6,15.5,4.4,1.9,1.2,0.3,0.9,0.47,0.404,0.842,3.7,1,0.595
Cameron Payne,PHX,28.0,48,20.2,10.3,2.2,4.5,0.7,0.2,1.7,0.415,0.368,0.766,1.6,3,0.563
Caris LeVert,CLE,28.0,74,30.2,12.1,3.8,3.9,1.0,0.3,1.6,0.431,0.392,0.722,2.6,1,0.608
Cedi Osman,CLE,28.0,77,20.1,8.7,2.3,1.5,0.5,0.1,0.7,0.451,0.372,0.694,3.0,1,0.623
Charles Bassey,SAS,22.0,35,14.5,5.7,5.5,1.4,0.5,0.9,1.2,0.644,0.375,0.595,-0.9,0,0.257
Chimezie Metu,SAC,26.0,66,10.4,4.9,3.0,0.6,0.3,0.3,0.5,0.589,0.237,0.74,1.3,0,0.621
Chris Boucher,TOR,30.0,76,20.0,9.4,5.5,0.4,0.6,0.8,0.5,0.493,0.328,0.762,-0.2,9,0.513
Chris Duarte,IND,25.0,46,19.5,7.9,2.5,1.4,0.5,0.2,0.9,0.369,0.316,0.847,-2.5,0,0.413
Chris Paul,PHX,38.0,59,32.0,13.9,4.3,8.9,1.5,0.4,1.9,0.44,0.375,0.831,1.4,17,0.559
Christian Braun,DEN,22.0,76,15.5,4.7,2.4,0.8,0.5,0.2,0.5,0.495,0.354,0.625,-1.5,0,0.645
Christian Koloko,TOR,22.0,58,13.8,3.1,2.9,0.5,0.4,1.0,0.3,0.48,0.083,0.627,2.7,0,0.5
Christian Wood,DAL,27.0,67,25.9,16.6,7.3,1.8,0.4,1.1,1.8,0.515,0.376,0.772,-0.7,12,0.493
Chuma Okeke,ORL,24.0,27,19.2,4.7,3.6,1.4,0.7,0.4,0.6,0.352,0.302,0.762,-4.4,0,0.296
Clint Capela,ATL,29.0,65,26.6,12.0,11.0,0.9,0.7,1.2,0.8,0.653,0.0,0.603,-0.5,35,0.538
Coby White,CHI,23.0,74,23.4,9.7,2.9,2.8,0.7,0.1,1.0,0.443,0.372,0.871,1.9,1,0.5
Cody Zeller,MIA,30.0,15,14.4,6.5,4.3,0.7,0.2,0.3,0.9,0.627,0.0,0.686,-3.2,0,0.4
Cole Anthony,ORL,23.0,60,25.9,13.0,4.8,3.9,0.6,0.5,1.5,0.454,0.364,0.894,-0.4,1,0.467
Collin Sexton,UTA,24.0,48,23.9,14.3,2.2,2.9,0.6,0.1,1.8,0.506,0.393,0.819,-0.6,1,0.5
Corey Kispert,WAS,24.0,74,28.3,11.1,2.8,1.2,0.4,0.1,0.7,0.497,0.424,0.852,-1.7,0,0.419
Cory Joseph,DET,31.0,62,19.8,6.9,1.7,3.5,0.5,0.1,0.9,0.427,0.389,0.792,-1.8,0,0.194
D'Angelo Russell,LAL,27.0,71,32.5,17.8,3.0,6.2,1.0,0.4,2.6,0.469,0.396,0.829,1.2,9,0.549
Daishen Nix,HOU,21.0,57,16.0,4.0,1.7,2.3,0.5,0.1,1.5,0.342,0.286,0.667,-2.6,0,0.263
Dalano Banton,TOR,23.0,31,9.0,4.6,1.5,1.2,0.4,0.4,0.6,0.423,0.294,0.708,-1.1,0,0.548
Dalen Terry,CHI,20.0,38,5.6,2.2,1.0,0.6,0.3,0.1,0.2,0.444,0.259,0.667,0.3,0,0.5
Damian Jones,UTA,27.0,41,11.6,3.5,3.0,0.4,0.2,0.5,0.6,0.64,0.588,0.759,-2.0,1,0.293
Damian Lillard,POR,32.0,58,36.3,32.2,4.8,7.3,0.9,0.3,3.3,0.463,0.371,0.914,1.8,16,0.466
Damion Lee,PHX,30.0,74,20.4,8.2,3.0,1.3,0.4,0.1,1.1,0.442,0.445,0.904,1.1,0,0.541
Daniel Gafford,WAS,24.0,78,20.6,9.0,5.6,1.1,0.4,1.3,1.1,0.732,0.0,0.679,-1.1,10,0.41
Danny Green,CLE,35.0,11,12.6,5.5,1.3,0.5,0.5,0.3,0.9,0.449,0.432,1.0,-1.5,0,0.545
Danuel House Jr.,PHI,29.0,56,14.4,4.8,1.7,0.8,0.3,0.2,0.5,0.472,0.336,0.75,-0.3,0,0.679
Dario Saric,OKC,29.0,57,14.1,6.4,3.6,1.3,0.4,0.1,1.0,0.458,0.391,0.829,0.6,2,0.456
Darius Bazley,PHX,22.0,43,14.3,5.2,3.2,0.9,0.5,0.8,0.6,0.454,0.377,0.543,-1.6,0,0.442
Darius Garland,CLE,23.0,69,35.5,21.6,2.7,7.8,1.2,0.1,2.9,0.462,0.41,0.863,6.3,18,0.58
David Duke Jr.,BKN,23.0,23,9.9,3.7,1.3,0.9,0.4,0.0,0.8,0.462,0.083,0.706,-1.5,0,0.435
David Roddy,MEM,22.0,70,18.0,6.7,2.8,0.8,0.4,0.3,0.8,0.429,0.307,0.631,-0.9,0,0.629
Davion Mitchell,SAC,24.0,80,18.1,5.6,1.3,2.3,0.6,0.2,0.8,0.454,0.32,0.806,0.0,0,0.588
Davis Bertans,DAL,30.0,45,10.9,4.6,1.2,0.5,0.2,0.2,0.2,0.431,0.39,0.867,-0.8,0,0.444
Davon Reed,LAL,27.0,43,8.0,2.1,1.4,0.5,0.3,0.1,0.5,0.333,0.37,0.667,-2.3,0,0.674
Day'Ron Sharpe,BKN,21.0,48,11.5,4.7,4.2,0.8,0.3,0.7,0.9,0.544,0.545,0.636,-2.1,2,0.458
De'Aaron Fox,SAC,25.0,73,33.4,25.0,4.2,6.1,1.1,0.3,2.5,0.512,0.324,0.78,2.4,11,0.603
De'Andre Hunter,ATL,25.0,67,31.7,15.4,4.2,1.4,0.5,0.3,1.2,0.461,0.35,0.826,-0.3,1,0.522
De'Anthony Melton,PHI,25.0,77,27.9,10.1,4.1,2.6,1.6,0.5,1.3,0.425,0.39,0.793,1.3,0,0.649
DeAndre Jordan,DEN,34.0,39,15.0,5.1,5.2,0.9,0.3,0.6,1.2,0.765,1.0,0.458,-3.1,2,0.59
DeMar DeRozan,CHI,33.0,74,36.2,24.5,4.6,5.1,1.1,0.5,2.1,0.504,0.324,0.872,0.9,6,0.5
Dean Wade,CLE,26.0,44,20.3,4.7,3.4,0.8,0.6,0.5,0.4,0.412,0.354,0.652,2.5,0,0.682
Deandre Ayton,PHX,24.0,67,30.4,18.0,10.0,1.7,0.6,0.8,1.8,0.589,0.292,0.76,-0.1,36,0.537
Dejounte Murray,ATL,26.0,74,36.4,20.5,5.3,6.1,1.5,0.3,2.2,0.464,0.344,0.832,-0.8,8,0.514
Delon Wright,WAS,31.0,50,24.4,7.4,3.6,3.9,1.8,0.3,0.9,0.474,0.345,0.867,1.4,0,0.52
Deni Avdija,WAS,22.0,76,26.6,9.2,6.4,2.8,0.9,0.4,1.6,0.437,0.297,0.739,-0.7,11,0.434
Dennis Schroder,LAL,29.0,66,30.1,12.6,2.5,4.5,0.8,0.2,1.7,0.415,0.329,0.857,1.9,2,0.561
Dennis Smith Jr.,CHA,25.0,54,25.7,8.8,3.1,4.8,1.4,0.5,1.5,0.412,0.216,0.736,-1.3,1,0.352
Derrick Jones Jr.,CHI,26.0,64,14.0,5.0,2.4,0.5,0.5,0.6,0.4,0.5,0.338,0.738,1.9,0,0.453
Derrick Rose,NYK,34.0,27,12.5,5.6,1.5,1.7,0.3,0.2,0.8,0.384,0.302,0.917,-1.1,0,0.444
Derrick White,BOS,28.0,82,28.3,12.4,3.6,3.9,0.7,0.9,1.2,0.462,0.381,0.875,6.0,7,0.695
Desmond Bane,MEM,24.0,58,31.7,21.5,5.0,4.4,1.0,0.4,2.2,0.479,0.408,0.883,6.1,1,0.655
Devin Booker,PHX,26.0,53,34.6,27.8,4.5,5.5,1.0,0.3,2.7,0.494,0.351,0.855,4.7,5,0.642
Devin Vassell,SAS,22.0,38,31.0,18.5,3.9,3.6,1.1,0.4,1.5,0.439,0.387,0.78,-7.8,0,0.316
Devonte' Graham,SAS,28.0,73,18.3,7.4,1.7,2.7,0.6,0.2,0.7,0.374,0.352,0.748,-2.2,0,0.425
Dewayne Dedmon,PHI,33.0,38,11.2,5.2,3.5,0.7,0.2,0.5,0.7,0.51,0.308,0.673,-3.3,0,0.605
Dillon Brooks,MEM,27.0,73,30.3,14.3,3.3,2.6,0.9,0.2,1.4,0.396,0.326,0.779,2.8,0,0.63
Domantas Sabonis,SAC,27.0,79,34.6,19.1,12.3,7.3,0.8,0.5,2.9,0.615,0.373,0.742,2.7,65,0.595
Dominick Barlow,SAS,20.0,28,14.6,3.9,3.6,0.9,0.4,0.7,0.5,0.535,0.0,0.72,-3.9,2,0.179
Donovan Mitchell,CLE,26.0,68,35.8,28.3,4.3,4.4,1.5,0.4,2.6,0.484,0.386,0.867,5.0,5,0.647
Donte DiVincenzo,GSW,26.0,72,26.3,9.4,4.5,3.5,1.3,0.1,1.6,0.435,0.397,0.817,1.7,4,0.583
Dorian Finney-Smith,BKN,30.0,66,30.4,8.3,4.8,1.5,0.8,0.5,0.9,0.391,0.337,0.763,-0.1,2,0.47
Doug McDermott,SAS,31.0,64,20.5,10.2,2.2,1.4,0.2,0.1,0.9,0.457,0.413,0.757,-3.7,0,0.297
Draymond Green,GSW,33.0,73,31.5,8.5,7.2,6.8,1.0,0.8,2.8,0.527,0.305,0.713,4.7,11,0.562
Drew Eubanks,POR,26.0,78,20.3,6.6,5.4,1.3,0.5,1.3,0.9,0.641,0.389,0.664,-1.7,3,0.397
Dru Smith,BKN,25.0,15,10.6,2.9,1.6,1.5,0.7,0.3,0.2,0.4,0.263,1.0,-1.9,0,0.467
Duane Washington Jr.,NYK,23.0,31,12.7,7.9,1.2,2.0,0.2,0.1,1.1,0.367,0.36,0.667,-0.2,0,0.548
Duncan Robinson,MIA,29.0,42,16.4,6.4,1.6,1.1,0.3,0.0,0.7,0.371,0.328,0.906,-1.3,0,0.452
Dwight Powell,DAL,31.0,76,19.2,6.7,4.1,0.9,0.6,0.3,0.9,0.732,0.0,0.667,2.2,1,0.487
Dyson Daniels,NOP,20.0,59,17.7,3.8,3.2,2.3,0.7,0.2,1.0,0.418,0.314,0.65,-0.1,0,0.559
Edmond Sumner,BKN,27.0,53,13.9,7.1,1.5,1.3,0.6,0.2,0.9,0.461,0.356,0.917,0.5,0,0.623
Eric Gordon,LAC,34.0,69,28.5,12.4,1.9,2.7,0.6,0.4,1.5,0.446,0.371,0.821,-3.0,0,0.362
Eugene Omoruyi,DET,26.0,40,16.1,7.0,2.8,0.7,0.7,0.1,0.9,0.443,0.281,0.68,-1.0,0,0.25
Evan Fournier,NYK,30.0,27,17.0,6.1,1.8,1.3,0.6,0.1,0.8,0.337,0.307,0.857,-2.0,0,0.556
Evan Mobley,CLE,21.0,79,34.4,16.2,9.0,2.8,0.8,1.5,1.8,0.554,0.216,0.674,4.3,24,0.608
Frank Kaminsky,HOU,30.0,36,6.5,2.5,1.4,0.9,0.2,0.1,0.3,0.492,0.394,0.875,-0.1,0,0.361
Frank Ntilikina,DAL,24.0,47,12.9,2.9,1.3,1.2,0.3,0.1,0.6,0.364,0.254,0.667,0.7,0,0.426
Franz Wagner,ORL,21.0,80,32.6,18.6,4.1,3.5,1.0,0.2,2.1,0.485,0.361,0.842,0.6,2,0.413
Fred VanVleet,TOR,29.0,69,36.7,19.3,4.1,7.2,1.8,0.6,2.0,0.393,0.342,0.898,2.8,10,0.493
Furkan Korkmaz,PHI,25.0,37,9.6,3.8,1.1,0.6,0.3,0.1,0.6,0.432,0.391,0.722,0.1,0,0.649
Gabe Vincent,MIA,26.0,68,25.9,9.4,2.1,2.5,0.9,0.1,1.4,0.402,0.334,0.872,-0.4,0,0.544
Garrett Temple,NOP,37.0,25,6.5,2.0,0.7,0.5,0.4,0.1,0.2,0.4,0.423,0.75,-0.7,0,0.64
Garrison Mathews,ATL,26.0,54,12.7,4.8,1.4,0.5,0.4,0.1,0.4,0.363,0.35,0.906,-1.6,0,0.296
Gary Harris,ORL,28.0,48,24.7,8.3,2.0,1.2,0.9,0.3,0.6,0.45,0.431,0.9,-1.8,0,0.458
Gary Payton II,GSW,30.0,22,16.7,4.6,3.1,1.4,1.0,0.2,0.7,0.594,0.5,0.857,1.8,0,0.591
Gary Trent Jr.,TOR,24.0,66,32.1,17.4,2.6,1.6,1.6,0.2,0.8,0.433,0.369,0.839,-0.8,0,0.47
George Hill,IND,37.0,46,18.1,5.0,1.8,2.4,0.6,0.1,0.7,0.47,0.358,0.764,0.9,0,0.587
Georges Niang,PHI,29.0,78,19.4,8.2,2.4,1.0,0.4,0.2,0.7,0.442,0.401,0.867,1.0,0,0.654
Giannis Antetokounmpo,MIL,28.0,63,32.1,31.1,11.8,5.7,0.8,0.8,3.9,0.553,0.275,0.645,5.4,46,0.746
Goga Bitadze,ORL,23.0,38,12.0,4.4,3.6,1.0,0.4,0.7,0.6,0.552,0.231,0.548,0.7,2,0.342
Goran Dragic,MIL,37.0,58,15.0,6.3,1.4,2.6,0.2,0.1,1.1,0.421,0.359,0.689,0.1,0,0.466
Gordon Hayward,CHA,33.0,50,31.5,14.7,4.3,4.1,0.8,0.2,2.0,0.475,0.325,0.811,-2.2,2,0.4
Gorgui Dieng,SAS,33.0,31,11.6,3.9,3.5,1.7,0.1,0.5,1.0,0.385,0.28,0.769,-4.9,2,0.097
Grant Williams,BOS,24.0,79,25.9,8.1,4.6,1.7,0.5,0.4,1.0,0.454,0.395,0.77,2.6,3,0.696
Grayson Allen,MIL,27.0,72,27.4,10.4,3.3,2.3,0.9,0.2,1.0,0.44,0.399,0.905,3.2,0,0.736
Greg Brown III,POR,21.0,16,5.8,1.8,1.2,0.2,0.3,0.3,0.4,0.393,0.143,0.417,-0.3,0,0.625
Hamidou Diallo,DET,24.0,56,17.8,9.3,3.5,1.0,0.9,0.3,1.3,0.573,0.238,0.588,-0.3,0,0.214
Harrison Barnes,SAC,31.0,82,32.5,15.0,4.5,1.6,0.7,0.1,1.0,0.473,0.374,0.847,3.1,0,0.585
Haywood Highsmith,MIA,26.0,54,18.0,4.4,3.5,0.8,0.7,0.3,0.8,0.431,0.339,0.464,-1.9,2,0.519
Herbert Jones,NOP,24.0,66,29.6,9.8,4.1,2.5,1.6,0.6,1.3,0.469,0.335,0.764,2.3,0,0.47
Immanuel Quickley,NYK,23.0,81,28.9,14.9,4.2,3.4,1.0,0.2,1.2,0.448,0.37,0.819,3.9,4,0.58
Isaac Okoro,CLE,22.0,76,21.7,6.4,2.5,1.1,0.7,0.4,0.6,0.494,0.363,0.757,1.7,0,0.632
Isaiah Hartenstein,NYK,25.0,82,19.9,5.0,6.5,1.2,0.6,0.8,0.8,0.535,0.216,0.676,1.8,2,0.573
Isaiah Jackson,IND,21.0,63,16.5,7.2,4.5,0.8,0.5,1.5,0.8,0.563,0.143,0.651,-2.0,5,0.381
Isaiah Joe,OKC,23.0,73,19.1,9.5,2.4,1.2,0.7,0.1,0.5,0.441,0.409,0.82,2.9,0,0.493
Isaiah Livers,DET,24.0,52,23.1,6.7,2.8,0.8,0.5,0.5,0.6,0.417,0.365,0.821,-3.9,1,0.192
Isaiah Mobley,CLE,23.0,12,7.0,2.6,1.7,0.3,0.3,0.3,0.1,0.429,0.375,1.0,2.6,0,0.667
Isaiah Roby,NYK,25.0,42,11.3,4.1,2.6,0.9,0.4,0.2,0.7,0.432,0.3,0.488,-2.6,0,0.214
Isaiah Stewart,DET,22.0,50,28.3,11.3,8.1,1.4,0.4,0.7,1.4,0.442,0.327,0.738,-4.5,13,0.24
Ish Smith,DEN,34.0,43,9.3,2.5,1.3,2.3,0.2,0.2,1.0,0.397,0.167,0.5,-0.8,0,0.581
Ish Wainright,PHX,28.0,60,15.3,4.2,2.3,0.9,0.6,0.4,0.4,0.37,0.329,0.839,1.5,0,0.55
Ivica Zubac,LAC,26.0,76,28.5,10.8,9.9,1.0,0.4,1.3,1.5,0.634,0.0,0.697,-0.4,27,0.566
JD Davison,BOS,20.0,12,5.5,1.6,0.8,0.9,0.2,0.2,0.3,0.421,0.286,0.5,-0.5,0,0.917
JT Thor,CHA,20.0,69,14.0,3.8,2.2,0.5,0.3,0.3,0.6,0.399,0.317,0.702,-2.4,0,0.319
Ja Morant,MEM,23.0,61,31.9,26.2,5.9,8.1,1.1,0.3,3.4,0.466,0.307,0.748,5.0,20,0.656
JaMychal Green,GSW,32.0,57,14.0,6.4,3.6,0.9,0.4,0.4,0.9,0.54,0.378,0.776,-2.7,0,0.526
JaVale McGee,DAL,35.0,42,8.4,4.4,2.5,0.3,0.1,0.6,0.9,0.64,0.4,0.585,-1.4,0,0.476
Jabari Smith Jr.,HOU,20.0,79,31.0,12.8,7.2,1.3,0.5,0.9,1.3,0.408,0.307,0.786,-7.0,16,0.266
Jabari Walker,POR,20.0,56,11.1,3.9,2.3,0.6,0.2,0.2,0.5,0.419,0.286,0.756,-2.1,0,0.375
Jack White,DEN,25.0,17,3.9,1.2,1.0,0.2,0.2,0.1,0.1,0.421,0.333,0.667,-1.0,0,0.765
Jaden Hardy,DAL,20.0,48,14.8,8.8,1.9,1.4,0.4,0.1,1.0,0.438,0.404,0.823,-0.7,0,0.417
Jaden Ivey,DET,21.0,74,31.1,16.3,3.9,5.2,0.8,0.2,3.2,0.416,0.343,0.747,-8.7,8,0.216
Jaden McDaniels,MIN,22.0,79,30.6,12.1,3.9,1.9,0.9,1.0,1.4,0.517,0.398,0.736,0.9,0,0.519
Jaden Springer,PHI,20.0,16,5.6,2.6,0.9,0.5,0.4,0.2,0.2,0.486,0.4,0.75,-0.2,0,0.813
Jae Crowder,MIL,32.0,18,18.9,6.9,3.8,1.5,0.7,0.3,0.4,0.479,0.436,0.833,0.0,0,0.722
Jae'Sean Tate,HOU,27.0,31,21.9,9.1,3.8,2.7,0.7,0.2,1.5,0.48,0.283,0.725,-3.0,0,0.226
Jake LaRavia,MEM,21.0,35,11.8,3.0,1.8,0.6,0.3,0.1,0.5,0.389,0.338,0.778,-2.2,0,0.629
Jakob Poeltl,TOR,27.0,72,26.5,12.5,9.1,2.7,0.9,1.2,1.7,0.629,0.0,0.592,-2.0,19,0.361
Jalen Brunson,NYK,26.0,68,35.0,24.0,3.5,6.2,0.9,0.2,2.1,0.491,0.416,0.829,2.2,5,0.588
Jalen Duren,DET,19.0,67,24.9,9.1,8.9,1.1,0.7,0.9,1.4,0.648,0.0,0.611,-4.2,19,0.239
Jalen Green,HOU,21.0,76,34.2,22.1,3.7,3.7,0.8,0.2,2.6,0.416,0.338,0.786,-5.9,0,0.263
Jalen Johnson,ATL,21.0,70,14.9,5.6,4.0,1.2,0.5,0.5,0.6,0.491,0.288,0.628,-0.1,1,0.5
Jalen McDaniels,PHI,25.0,80,23.9,9.4,4.3,1.6,1.0,0.4,1.2,0.455,0.332,0.841,-1.9,3,0.388
Jalen Smith,IND,23.0,68,18.8,9.4,5.8,1.0,0.3,0.9,1.1,0.476,0.283,0.759,-1.4,7,0.456
Jalen Suggs,ORL,22.0,53,23.5,9.9,3.0,2.9,1.3,0.5,1.8,0.419,0.327,0.723,-0.8,0,0.377
Jalen Williams,OKC,22.0,75,30.3,14.1,4.5,3.3,1.4,0.5,1.6,0.521,0.356,0.812,-0.7,3,0.48
Jamal Cain,MIA,24.0,18,13.3,5.4,2.9,0.7,0.6,0.1,0.3,0.561,0.35,0.773,1.2,0,0.556
Jamal Murray,DEN,26.0,65,32.8,20.0,4.0,6.2,1.0,0.2,2.2,0.454,0.398,0.833,4.6,5,0.662
James Bouknight,CHA,22.0,34,15.2,5.6,2.1,1.2,0.4,0.1,0.9,0.358,0.303,0.667,-2.9,0,0.265
James Harden,PHI,33.0,58,36.8,21.0,6.1,10.7,1.2,0.5,3.4,0.441,0.385,0.867,4.8,36,0.672
James Johnson,IND,36.0,18,9.0,2.8,1.7,0.8,0.4,0.3,0.4,0.449,0.2,0.5,-0.4,0,0.389
James Wiseman,DET,22.0,45,19.3,10.0,5.9,0.7,0.2,0.6,1.1,0.558,0.2,0.701,-7.3,8,0.244
